"municipio","DRS","DRS.nome","id","DRS.nome.nonascii"
"Dona Francisca",1,"Santa Maria",430670,"Santa_Maria"
"Doutor Maurício Cardoso",14,"Santa Rosa",430673,"Santa_Rosa"
"Doutor Ricardo",29,"Lajeado",430675,"Lajeado"
"Eldorado do Sul",9,"Guaíba",430676,"Guaiba"
"Encantado",29,"Lajeado",430680,"Lajeado"
"Encruzilhada do Sul",27,"Cachoeira do Sul",430690,"Cachoeira_do_Sul"
"Engenho Velho",15,"Palmeira das Missões",430692,"Palmeira_das_Missoes"
"Entre Rios do Sul",16,"Erechim",430695,"Erechim"
"Entre-Ijuís",11,"Santo Ângelo",430693,"Santo_Angelo"
"Erebango",16,"Erechim",430697,"Erechim"
"Erechim",16,"Erechim",430700,"Erechim"
"Ernestina",17,"Passo Fundo",430705,"Passo_Fundo"
"Erval Grande",16,"Erechim",430720,"Erechim"
"Erval Seco",15,"Palmeira das Missões",430730,"Palmeira_das_Missoes"
"Esmeralda",23,"Caxias do Sul",430740,"Caxias_do_Sul"
"Esperança do Sul",15,"Palmeira das Missões",430745,"Palmeira_das_Missoes"
"Espumoso",17,"Passo Fundo",430750,"Passo_Fundo"
"Estação",16,"Erechim",430755,"Erechim"
"Estância Velha",7,"Novo Hamburgo",430760,"Novo_Hamburgo"
"Esteio",8,"Canoas",430770,"Canoas"
"Estrela",29,"Lajeado",430780,"Lajeado"
"Estrela Velha",27,"Cachoeira do Sul",430781,"Cachoeira_do_Sul"
"Eugênio de Castro",11,"Santo Ângelo",430783,"Santo_Angelo"
"Fagundes Varela",23,"Caxias do Sul",430786,"Caxias_do_Sul"
"Farroupilha",23,"Caxias do Sul",430790,"Caxias_do_Sul"
"Faxinal do Soturno",1,"Santa Maria",430800,"Santa_Maria"
"Faxinalzinho",16,"Erechim",430805,"Erechim"
"Fazenda Vilanova",29,"Lajeado",430807,"Lajeado"
"Feliz",23,"Caxias do Sul",430810,"Caxias_do_Sul"
"Flores da Cunha",23,"Caxias do Sul",430820,"Caxias_do_Sul"
"Floriano Peixoto",16,"Erechim",430825,"Erechim"
"Fontoura Xavier",17,"Passo Fundo",430830,"Passo_Fundo"
"Formigueiro",1,"Santa Maria",430840,"Santa_Maria"
"Forquetinha",29,"Lajeado",430843,"Lajeado"
"Fortaleza dos Valos",12,"Cruz Alta",430845,"Cruz_Alta"
"Frederico Westphalen",15,"Palmeira das Missões",430850,"Palmeira_das_Missoes"
"Garibaldi",23,"Caxias do Sul",430860,"Caxias_do_Sul"
"Garruchos",11,"Santo Ângelo",430865,"Santo_Angelo"
"Gaurama",16,"Erechim",430870,"Erechim"
"General Câmara",9,"Guaíba",430880,"Guaiba"
"Gentil",17,"Passo Fundo",430885,"Passo_Fundo"
"Getúlio Vargas",16,"Erechim",430890,"Erechim"
"Giruá",14,"Santa Rosa",430900,"Santa_Rosa"
"Glorinha",10,"Porto Alegre",430905,"Porto_Alegre"
"Gramado",23,"Caxias do Sul",430910,"Caxias_do_Sul"
"Gramado dos Loureiros",15,"Palmeira das Missões",430912,"Palmeira_das_Missoes"
"Gramado Xavier",28,"Santa Cruz do Sul",430915,"Santa_Cruz_do_Sul"
"Gravataí",10,"Porto Alegre",430920,"Porto_Alegre"
"Guabiju",23,"Caxias do Sul",430925,"Caxias_do_Sul"
"Guaíba",9,"Guaíba",430930,"Guaiba"
"Guaporé",23,"Caxias do Sul",430940,"Caxias_do_Sul"
"Guarani das Missões",11,"Santo Ângelo",430950,"Santo_Angelo"
"Harmonia",8,"Canoas",430955,"Canoas"
"Herval",21,"Pelotas",430710,"Pelotas"
"Herveiras",28,"Santa Cruz do Sul",430957,"Santa_Cruz_do_Sul"
"Horizontina",14,"Santa Rosa",430960,"Santa_Rosa"
"Hulha Negra",22,"Bagé",430965,"Bage"
"Humaitá",13,"Ijuí",430970,"Ijui"
"Ibarama",27,"Cachoeira do Sul",430975,"Cachoeira_do_Sul"
"Ibiaçá",17,"Passo Fundo",430980,"Passo_Fundo"
"Ibiraiaras",17,"Passo Fundo",430990,"Passo_Fundo"
"Ibirapuitã",17,"Passo Fundo",430995,"Passo_Fundo"
"Ibirubá",12,"Cruz Alta",431000,"Cruz_Alta"
"Igrejinha",6,"Taquara",431010,"Taquara"
"Ijuí",13,"Ijuí",431020,"Ijui"
"Ilópolis",29,"Lajeado",431030,"Lajeado"
"Imbé",4,"Capão Da Canoa",431033,"Capao_Da_Canoa"
"Imigrante",29,"Lajeado",431036,"Lajeado"
"Independência",14,"Santa Rosa",431040,"Santa_Rosa"
"Inhacorá",13,"Ijuí",431041,"Ijui"
"Ipê",23,"Caxias do Sul",431043,"Caxias_do_Sul"
"Ipiranga do Sul",16,"Erechim",431046,"Erechim"
"Iraí",15,"Palmeira das Missões",431050,"Palmeira_das_Missoes"
"Itaara",1,"Santa Maria",431053,"Santa_Maria"
"Itacurubi",1,"Santa Maria",431055,"Santa_Maria"
"Itapuca",17,"Passo Fundo",431057,"Passo_Fundo"
"Itaqui",3,"Uruguaiana",431060,"Uruguaiana"
"Itati",4,"Capão Da Canoa",431065,"Capao_Da_Canoa"
"Itatiba do Sul",16,"Erechim",431070,"Erechim"
"Ivorá",1,"Santa Maria",431075,"Santa_Maria"
"Ivoti",7,"Novo Hamburgo",431080,"Novo_Hamburgo"
"Jaboticaba",15,"Palmeira das Missões",431085,"Palmeira_das_Missoes"
"Jacuizinho",12,"Cruz Alta",431087,"Cruz_Alta"
"Jacutinga",16,"Erechim",431090,"Erechim"
"Jaguarão",21,"Pelotas",431100,"Pelotas"
"Jaguari",1,"Santa Maria",431110,"Santa_Maria"
"Jaquirana",23,"Caxias do Sul",431112,"Caxias_do_Sul"
"Jari",1,"Santa Maria",431113,"Santa_Maria"
"Jóia",13,"Ijuí",431115,"Ijui"
"Júlio de Castilhos",1,"Santa Maria",431120,"Santa_Maria"
"Lagoa Bonita do Sul",27,"Cachoeira do Sul",431123,"Cachoeira_do_Sul"
"Lagoa dos Três Cantos",17,"Passo Fundo",431127,"Passo_Fundo"
"Lagoa Vermelha",17,"Passo Fundo",431130,"Passo_Fundo"
"Lagoão",17,"Passo Fundo",431125,"Passo_Fundo"
"Lajeado",29,"Lajeado",431140,"Lajeado"
"Lajeado do Bugre",15,"Palmeira das Missões",431142,"Palmeira_das_Missoes"
"Lavras do Sul",22,"Bagé",431150,"Bage"
"Liberato Salzano",15,"Palmeira das Missões",431160,"Palmeira_das_Missoes"
"Lindolfo Collor",7,"Novo Hamburgo",431162,"Novo_Hamburgo"
"Linha Nova",23,"Caxias do Sul",431164,"Caxias_do_Sul"
"Maçambará",3,"Uruguaiana",431171,"Uruguaiana"
"Machadinho",17,"Passo Fundo",431170,"Passo_Fundo"
"Mampituba",4,"Capão Da Canoa",431173,"Capao_Da_Canoa"
"Manoel Viana",3,"Uruguaiana",431175,"Uruguaiana"
"Maquiné",4,"Capão Da Canoa",431177,"Capao_Da_Canoa"
"Maratá",8,"Canoas",431179,"Canoas"
"Marau",17,"Passo Fundo",431180,"Passo_Fundo"
"Marcelino Ramos",16,"Erechim",431190,"Erechim"
"Mariana Pimentel",9,"Guaíba",431198,"Guaiba"
"Mariano Moro",16,"Erechim",431200,"Erechim"
"Marques de Souza",29,"Lajeado",431205,"Lajeado"
"Mata",1,"Santa Maria",431210,"Santa_Maria"
"Mato Castelhano",17,"Passo Fundo",431213,"Passo_Fundo"
