"data","novos.casos","casos.acumulados","obitos.novos","obitos.acumulados"
2020-05-08,10222,145328,749,9895
2020-05-09,10611,155939,732,10627
2020-05-10,6760,162699,496,11123
2020-05-11,5632,168331,396,11519
2020-05-12,9258,177589,881,12400
2020-05-13,11385,188974,749,13149
2020-05-14,13944,202918,844,13993
2020-05-15,15305,218223,824,14817
2020-05-16,14919,233142,816,15633
2020-05-17,7938,241080,485,16118
2020-05-18,13140,254220,674,16792
2020-05-19,17408,271628,1179,17971
2020-05-20,19951,291579,888,18859
2020-05-21,18508,310087,1188,20047
2020-05-22,20803,330890,999,21046
2020-05-23,16508,347398,967,22013
2020-05-24,15813,363211,653,22666
2020-05-25,11687,374898,807,23473
2020-05-26,16324,391222,1039,24512
2020-05-27,20599,411821,1086,25598
2020-05-28,26417,438238,1156,26754
2020-05-29,26928,465166,1124,27878
2020-05-30,33274,498440,956,28834
2020-05-31,15760,514200,480,29314
2020-06-01,12247,526447,623,29937
2020-06-02,28936,555383,1262,31199
2020-06-03,28633,584016,1349,32548
2020-06-04,30925,614941,1473,34021
2020-06-05,30830,645771,1005,35026
2020-06-06,27075,672846,904,35930
2020-06-07,18912,691758,525,36455
2020-06-08,15654,707412,679,37134
2020-06-09,32091,739503,1272,38406
2020-06-10,32913,772416,1274,39680
2020-06-11,30412,802828,1239,40919
2020-06-12,25982,828810,909,41828
2020-06-13,21704,850514,892,42720
2020-06-14,17110,867624,612,43332
2020-06-15,20647,888271,627,43959
2020-06-16,34918,923189,1282,45241
2020-06-17,32188,955377,1269,46510
2020-06-18,22765,978142,1238,47748
2020-06-19,54771,1032913,1206,48954
2020-06-20,34666,1067579,1022,49976
2020-06-21,17459,1085038,641,50617
2020-06-22,21432,1106470,654,51271
2020-06-23,39436,1145906,1374,52645
2020-06-24,42725,1188631,1185,53830
2020-06-25,39483,1228114,1141,54971
2020-06-26,46860,1274974,990,55961
2020-06-27,38693,1313667,1109,57070
2020-06-28,30476,1344143,552,57622
2020-06-29,24052,1368195,692,58314
2020-06-30,33846,1402041,1280,59594
2020-07-01,46712,1448753,1038,60632
2020-07-02,48105,1496858,1252,61884
2020-07-03,42223,1539081,1290,63174
2020-07-04,37923,1577004,1091,64265
2020-07-05,26051,1603055,602,64867
2020-07-06,20229,1623284,620,65487
2020-07-07,45305,1668589,1254,66741
2020-07-08,44571,1713160,1223,67964
2020-07-09,42619,1755779,1220,69184
2020-07-10,45048,1800827,1214,70398
2020-07-11,39023,1839850,1071,71469
2020-07-12,24831,1864681,631,72100
2020-07-13,20286,1884967,733,72833
2020-07-14,41857,1926824,1300,74133
2020-07-15,39924,1966748,1233,75366
2020-07-16,45403,2012151,1322,76688
2020-07-17,34177,2046328,1163,77851
2020-07-18,28532,2074860,921,78772
2020-07-19,23529,2098389,716,79488
2020-07-20,20257,2118646,632,80120
2020-07-21,41008,2159654,1367,81487
2020-07-22,67860,2227514,1284,82771
2020-07-23,59961,2287475,1311,84082
2020-07-24,55891,2343366,1156,85238
2020-07-25,51147,2394513,1211,86449
2020-07-26,24578,2419091,555,87004
2020-07-27,23284,2442375,614,87618
2020-07-28,40816,2483191,921,88539
2020-07-29,69074,2552265,1595,90134
2020-07-30,57837,2610102,1129,91263
2020-07-31,52383,2662485,1212,92475
2020-08-01,45392,2707877,1088,93563
2020-08-02,25800,2733677,541,94104
2020-08-03,16641,2750318,561,94665
2020-08-04,51603,2801921,1154,95819
2020-08-05,55676,2857597,1421,97240
2020-08-06,54615,2912212,1253,98493
2020-08-07,50230,2962442,1079,99572
2020-08-08,49970,3012412,905,100477
2020-08-09,23010,3035422,572,101049
2020-08-10,22048,3057470,703,101752
2020-08-11,52160,3109630,1274,103026
2020-08-12,55155,3164785,1175,104201
2020-08-13,60091,3224876,1262,105463
2020-08-14,50644,3275520,1060,106523
2020-08-15,41576,3317096,709,107232
2020-08-16,23101,3340197,620,107852
2020-08-17,19373,3359570,684,108536
2020-08-18,47784,3407354,1352,109888
2020-08-19,49298,3456652,1212,111100
2020-08-20,45323,3501975,1204,112304
2020-08-21,30355,3532330,1054,113358
2020-08-22,50032,3582362,892,114250
2020-08-23,23421,3605783,494,114744
2020-08-24,17078,3622861,565,115309
2020-08-25,47134,3669995,1271,116580
2020-08-26,47161,3717156,1085,117665
2020-08-27,44235,3761391,984,118649
2020-08-28,43412,3804803,855,119504
2020-08-29,41350,3846153,958,120462
2020-08-30,16158,3862311,366,120828
2020-08-31,45961,3908272,553,121381
2020-09-01,42659,3950931,1215,122596
2020-09-02,46934,3997865,1184,123780
2020-09-03,43773,4041638,834,124614
2020-09-04,51194,4092832,907,125521
2020-09-05,30168,4123000,682,126203
2020-09-06,14521,4137521,447,126650
2020-09-07,10273,4147794,310,126960
2020-09-08,14279,4162073,504,127464
2020-09-09,35816,4197889,1075,128539
2020-09-10,40557,4238446,983,129522
2020-09-11,43718,4282164,874,130396
2020-09-12,33523,4315687,814,131210
2020-09-13,14768,4330455,415,131625
2020-09-14,15155,4345610,381,132006
2020-09-15,36653,4382263,1113,133119
2020-09-16,36820,4419083,987,134106
2020-09-17,36303,4455386,829,134935
2020-09-18,39797,4495183,858,135793
2020-09-19,33057,4528240,739,136532
2020-09-20,16389,4544629,363,136895
2020-09-21,13439,4558068,377,137272
2020-09-22,33536,4591604,836,138108
2020-09-23,33281,4624885,869,138977
2020-09-24,32817,4657702,831,139808
2020-09-25,31911,4689613,729,140537
2020-09-26,28378,4717991,869,141406
2020-09-27,14318,4732309,335,141741
2020-09-28,13155,4745464,317,142058
2020-09-29,32058,4777522,863,142921
2020-09-30,33413,4810935,1031,143952
2020-10-01,36157,4847092,728,144680
2020-10-02,33431,4880523,708,145388
2020-10-03,26310,4906833,599,145987
2020-10-04,8456,4915289,365,146352
2020-10-05,11946,4927235,323,146675
2020-10-06,41906,4969141,819,147494
2020-10-07,31553,5000694,734,148228
2020-10-08,27750,5028444,729,148957
2020-10-09,27444,5055888,682,149639
2020-10-10,26749,5082637,559,150198
2020-10-11,12342,5094979,290,150488
2020-10-12,8429,5103408,201,150689
2020-10-13,10220,5113628,309,150998
2020-10-14,27235,5140863,749,151747
2020-10-15,28523,5169386,713,152460
2020-10-16,30914,5200300,754,153214
2020-10-17,24062,5224362,461,153675
2020-10-18,10982,5235344,230,153905
2020-10-19,15383,5250727,271,154176
2020-10-20,23227,5273954,661,154837
2020-10-21,24818,5298772,566,155403
2020-10-22,24858,5323630,497,155900
2020-10-23,30026,5353656,571,156471
2020-10-24,26979,5380635,432,156903
2020-10-25,13493,5394128,231,157134
2020-10-26,15726,5409854,263,157397
2020-10-27,29787,5439641,549,157946
2020-10-28,28629,5468270,510,158456
2020-10-29,26106,5494376,513,158969
2020-10-30,22282,5516658,508,159477
2020-10-31,18947,5535605,407,159884
2020-11-01,10100,5545705,190,160074
2020-11-02,8501,5554206,179,160253
2020-11-03,11843,5566049,243,160496
2020-11-04,23976,5590025,610,161106
2020-11-05,22294,5612319,630,161736
2020-11-06,21428,5633747,302,162038
2020-11-07,19814,5653561,231,162269
2020-11-08,10554,5664115,128,162397
2020-11-09,10917,5675032,231,162628
2020-11-10,25012,5700044,201,162829
2020-11-11,48331,5748375,544,163373
2020-11-12,33207,5781582,908,164281
2020-11-13,29070,5810652,456,164737
2020-11-14,38307,5848959,921,165658
2020-11-15,14134,5863093,140,165798
2020-11-16,13371,5876464,216,166014
2020-11-17,35294,5911758,685,166699
2020-11-18,34091,5945849,756,167455
2020-11-19,35918,5981767,606,168061
2020-11-20,38397,6020164,552,168613
2020-11-21,32622,6052786,376,168989
2020-11-22,18615,6071401,194,169183
2020-11-23,16207,6087608,302,169485
2020-11-24,31100,6118708,630,170115
2020-11-25,47898,6166606,654,170769
2020-11-26,37614,6204220,691,171460
2020-11-27,34130,6238350,514,171974
2020-11-28,51922,6290272,587,172561
2020-11-29,24468,6314740,272,172833
2020-11-30,21138,6335878,287,173120
2020-12-01,50909,6386787,697,173817
2020-12-02,49863,6436650,698,174515
2020-12-03,50434,6487084,755,175270
2020-12-04,46884,6533968,694,175964
2020-12-05,43209,6577177,664,176628
2020-12-06,26363,6603540,313,176941
2020-12-07,20371,6623911,376,177317
2020-12-08,51088,6674999,842,178159
2020-12-09,53453,6728452,836,178995
2020-12-10,53347,6781799,770,179765
2020-12-11,54428,6836227,672,180437
2020-12-12,43900,6880127,686,181123
2020-12-13,21825,6901952,279,181402
2020-12-14,25193,6927145,433,181835
2020-12-15,42889,6970034,964,182799
2020-12-16,70574,7040608,936,183735
2020-12-17,69826,7110434,1092,184827
2020-12-18,52544,7162978,823,185650
2020-12-19,50177,7213155,706,186356
2020-12-20,25445,7238600,408,186764
2020-12-21,25019,7263619,527,187291
2020-12-22,55202,7318821,968,188259
