Nome,@ no Twitter,O que divulga (área de estudo/tema)?
Alexandre de Sousa,@Alexandre_ASMS,Cardiologia
Ronald Halliday,@ron_halliday,Cartografia e Covid-19
Lucas Lattari (Universo Discreto),@1iversoDiscreto,Ciência da Computação
Luiz Celso Gomes Jr.,@luizcelso,Ciência de Dados
Bruno Ferreira,@FerreiraBruno7,Ciência de Dados
Schwarza,@Schwarza79,Ciência em geral
Ciência de A a Z,@CienciaAZ,Ciência em geral
A Terra é redonda,@aterrapodcast,Ciência em geral
amerek_ufmg,@amerek_ufmg,Ciência em geral
Luiza Caires - jornalista de ciências,@luizacaires3,Ciência em geral
Instituto Questão De Ciência,@iqciencia,Ciência em geral
ViaSaber,@ViaSaber,Ciência em geral
Pint of Science BR,@pintofscienceBR,Ciência em geral
37 Graus Podcast,@37podcast,Ciência em geral
Mulheres na Ciência Br,@CienciaMulheres,Ciência em geral
Erica Mariosa,@MariosaErica,Ciência em geral
Watson 🏴 🚩,@015watson,Ciência em geral
"Natalia Pasternak , PhD",@TaschnerNatalia,Ciência em geral
Blogs Unicamp,@BlogsUnicamp,Ciência em geral
Tabata Bohlen,@TabataBohlen,Ciência em geral
Biofílica,@moleculoide,Ciência em geral
Oxigênio Podcast,@oxigenio_news,Ciência em geral
Maria Letícia,@mlbonatelli,Ciência em geral
Estêvão Slow 🇧🇷 👣💡 #FiqueEmCasa,@EstevaoSlowP,Ciência em geral
Portal Deviante,@PortalDeviante,Ciência em geral
Tarik Fernandes,@FernandesTarik,Ciência em geral
Luciano Queiroz,@lucianolqueiroz,Ciência em geral
Caio Dallaqua,@CaioDallaqua,Ciência em geral
Herton Escobar,@hertonescobar,Ciência em geral
Laura de Freitas,@lauramarise,Ciência em geral
Altay de Souza,@altayals,Ciência em geral
Laís Moreira Granato,@Laisgranato,Ciência em geral
Douglas Rodrigues A. de Oliveira,@DouglasRao42,Ciência em geral
Jujuba,@jujubavi,Ciência em geral
Rafael Arnoni,@doarnoni,Ciência em geral
Davi Calazans 🇧🇷,@DaviCalazans,Ciência em geral
nanaka,@na_nakamura,Ciência em geral
Fencas,@fencas,Ciência em geral
USP,@usponline,Ciência em geral
Ciência Hoje,@CienciaHoje,Ciência em geral
PesquisaFapesp,@PesquisaFapesp,Ciência em geral
Pós-doutor em treta,@luizbento,Ciência em geral
Rafa Bento,@Rafael_RNAm,Ciência em geral
Atila Iamarino,@oatila,Ciência em geral
Biodiversidade em Foco | Tábata,@BiodivFoco,Ciência em geral
Farol da Ciência,@farol_ciencia,Ciência em geral
Rolê Científico,@rolecientifico,Ciência em geral
"Olá, Ciência! House building",@olaciencia,Ciência em geral
Lucas Zanandrez Flag of Brazil,@lucaszanandrez,Ciência em geral
GuiXimenes Flag of BrazilWaving black flag,@GuiXimEnEs,Ciência em geral
Francisco Sassi,@sassichico,Ciência em geral
alberto akel,@AFakel,Ciência em geral
Rock com Ciência,@rockcomciencia,Ciência em geral
Guia dos Entusiastas da Ciência,@guiaeciencia,Ciência em geral
Nunca vi 1 cientista,@_NV1C,Ciência em geral
Cresivando Fernandes,@cresivando,Ciência em geral
Renata Brandt,@renatabrandt,Ciência em geral
Rafael Garcia,@rafagarc,Ciência em geral
Espaço Ciência,@EspacoCienciaPE,Ciência em geral
Diogo Rodriguez,@diogoarod,Ciência em geral
Dispersciência,@dispersciencia,Ciência em geral
"Carlos Orsi, FSMC Rvn.",@carlosom71,Ciência em geral
Minas Faz Ciência,@minasfazciencia,Ciência em geral
FAPEMIG,@fapemig,Ciência em geral
Agência FAPESP,@AgenciaFAPESP,Ciência em geral
Mural Científico,@muralcientifico,Ciência em geral
UniversoRacionalista,@U_Racionalista,Ciência em geral
Papo de Primata,@papodeprimata,Ciência em geral
Dragões de Garagem,@dragoesgaragem,Ciência em geral
Do Nano ao Macro,@nano_macro,Ciência em geral
Nádia Conceição,@Nadia_SanCo,Ciência em geral
Vidya Academics,@VidyaAcademics,Ciência em geral
Pedro Loos,@pedroloos,Ciência em geral
Ciência Todo Dia,@cienciatododia,Ciência em geral
Sinapse,@SinapsePodcast,Ciência em geral
ccult.org,@siteccult,Ciência em geral
Sofia Moutinho,@Sofialmdo,Ciência em geral
Matheus quântico,@drkLewi,Ciência em geral
Marcos Silva,@MarcosEcoRI,Ciência em geral
Ciência Books,@CienciaB,Ciência em geral
Alagoasapiens,@MaykeAlencar,Ciência em geral
unicampoficial,@unicampoficial,Ciência em geral
BláBláLogia,@BlaBlalogia,Ciência em geral
Cientistas Engajados,@CientistasE,Ciência em geral
Instituto Serrapilheira,@iserrapilheira,Ciência em geral
Vinícius Penteado,@penteadovini,Ciência em geral
Leonardo Magalhães,@leo_omagalhaes,Ciência em geral
ClickCiencia,@clickciencia,Ciência em geral
Mapa da Diáspora Científica do Brasil ,@diasporacientBR,Ciência em geral
ScienceBlogs Brasil,@scienceblogsbr,Ciência em geral
Science Vlogs Brasil,@svbroficial,Ciência em geral
André Biernath,@Andre_Biernath,Ciência em geral
Mariana Pezzo,@marianapezzo1,Ciência em geral
TemCiência,@TemCiencia,Ciência em geral e Divulgação Científica
Luciana #FiqueEmCasa #StayHome,@lucfsantana1812,Ciência Política
Natália without an H,@nataliaguiar_cs,Ciência política
Descascando a Ciência,@descascaciencia,Ciências agrárias
Observações Científicas,@ObsCientificas,Ciências da saúde
Amanda Milléo,@amandamilleo,Ciências da saúde
Rafaela da Rosa Ribeiro- Ciênsou,@rafa_rosarib,Ciências da saúde
elson farias,@elsonfarias,Ciências da saúde
Arthur Igor Lima,@oarthurigor,Ciências da saúde
Jonathan Vicente,@jonathanvicent,Ciências da saúde
Luciana Haddad,@lucianabphaddad,Ciências da saúde
José Gallucci,@josegallucci ,Ciências da saúde e Covid-19
Prof. Icles Rodrigues,@obrigahistoria,Ciências Humanas
Leonardo Rossatto,@nadanovonofront,Ciências Humanas
Marcelo Sabbatini,@marsabbatini,Ciências sociais
Daniel Marques,@Daniel_MVG,Computação
Cecília Dias Flores,@cissadflores,Computação
Petrônio Candido,@petroniocandido,Computação
Arthur Loureiro,@cosmonist,Cosmologia
#GenomicDay,@genomicday,Covid-19
Christian Perone,@tarantulae,Covid-19
Observatório COVID-19 Brasil,@obscovid19br,Covid-19
Rafael Lopes,@rafalpx,Covid-19
Diogo,@diogro,Covid-19
Humberto,@umobugafeiditai,Covid-19
Bacuara1,@bacuara1,Covid-19
Nathalia Beatriz,@nathaliabrsa,Covid-19
Vitor Valenti,@valenti_vitor,Covid-19
Cíntia Mara,@cintiamcr,Covid-19
Wesley Cota,@wlcota,Covid-19
Caroline Franco,@_francocarol,Covid-19
Cristianne Famer,@crisfamer,Covid-19
Leo Bastos,@leosbastos,Covid-19
Edu Honorato,@eduhonorato,Covid-19
Thomas Conti,@ThomasVConti,Covid-19
Ricardo Abreu,@ricardorasa,Covid-19
COVID Brasil,@covidbrasil.site,Covid-19
Ação COVID-19,@AcaoCovid,Covid-19
Rede Análise COVID-19,@analise_covid19,Covid-19
Fernando Weimer,@fbweimer,Covid-19
Caio C. V. Machado,@caiocvm,Desinformação
Daniel A. Dourado,@dadourado,Desinformação
Cristina Tardáguila,@ctardaguila,Desinformação
Felipe Soares,@felipebsoares,Desinformação e Covid-19
Rafael Zanatta,@rafa_zanatta,Direito digital
Renata Fontanetto,@renataftto,Divulgação Científica
Roberto Takata,@rmtakata,Divulgação Científica
corongamari 🧬🦠,@marifiora,Divulgação Científica
Natalia Flores,@nataliflores,Divulgação Científica
V.,@veronica_soares,Divulgação Científica
quarentener raiz,@patriciast8,Divulgação Científica
Sidcley Lyra,@LyraSid,Divulgação Científica
Sabine B. Righetti 🏡,@binerighetti,Divulgação Científica
Higor Tomaz,@higor_de_castro,Divulgação Científica
Meghie Rodrigues,@meghier,Divulgação Científica
Noêmia Lopes,@NoemiaFLopes,Divulgação Científica
Yurij Castelfranchi,@ycastelfranchi,Divulgação Científica
Carol Gigliotti,@carolpassarinha,Divulgação Científica
Day Machado,@dayftmachado,Divulgação Científica e Desinformação
Thamara Almeida,@_tsalmeida,Ecologia
Gracielle Higino,@GracielleHigino,Ecologia
DesAbraçando Árvores Podcast Flag of Brazil,@desabrace,Ecologia
Dhiordan Lovestain,@DhiordanLove,Ecologia
Rílden Gomes (Ecochat),@ecochatt,Ecologia
Guilherme Lui,@guilhermelui_3c,Educação Física
Insetologia - Kel,@ElfodosInsetos,Entomologia
Jhonatan Santos © 🐛🦋,@Jhonatan_xpp,Entomologia
Lohan Santos ,@lohaansantoos,Entomologia
InsetoLand 🦋,@InsetoLand,Entomologia
Flávia Virginio,@flavirginio,Entomologia
Michelotto8legs 🕷🕷️,@Michelotto8legs,Entomologia
Bernardo Egito (em 🏡) 🦗,@BernardoEgito,Entomologia
Sávio Cavalcante,@SavCavalcante,Entomologia
Observações Naturalistas,@ObsNaturalistas,Entomologia
César Favacho,@CesarFavacho,Entomologia
Lucas Camargos,@lmcamargos,Entomologia
Luis Paulo Carvalho,@luispaulobio,Entomologia
Otavio Ranzani,@otavio_ranzani,Epidemiologia
André Freitas,@aribasfreitas,Epidemiologia
Hugo Hoffmann,@epihoffmann,Epidemiologia
pedro bravo do filosofiaasério,@93pedrobravo,Filosofia
Bino Biasutti,@binobiasutti,Filosofia
AnimaFísica,@AnimaFisica,Física
Dr. Gabriela Bailas,@bibibailas,Física
Eduardo Sato 🏴🚩,@ea_sato,Física
Hugo Soler 🇧🇷,@HHugoo12,Física
Ricardo Bittencourt,@ricbit,Física
Fisicast,@fisicast,Física
Idelfranio Moreira,@FisicaMarginal,Física
Leandro R. Tessler,@leandrotessler,Física
julha,@jujuutsu,Física
#FisicaThreadBr,@FisicaThreadBr,Física
Guilherme Costa,@ghscosta271,Física
