"Index","estimativa","ic.inf","ic.sup"
"2020-06-28",16.5837029809852,14.9243216270254,18.65785288881
"2020-06-29",19.8136534689081,17.5304206847601,22.7802328920813
"2020-06-30",22.6060432345695,19.7266873817134,26.4690746898752
"2020-07-01",17.2144930105715,15.5234383991595,19.3186600348243
"2020-07-02",13.6724093425777,12.6055437983175,14.9362992996597
"2020-07-03",12.5443971678298,11.6604134178157,13.573182998433
"2020-07-04",12.7211498839151,11.8345037501717,13.7511970372422
"2020-07-05",16.3337876030253,14.9323134211413,18.0253072610597
"2020-07-06",21.4972783528222,19.1724658845146,24.4633248009421
"2020-07-07",24.9397716876024,21.9085823928948,28.9439811063116
"2020-07-08",26.0422940795041,22.798604990098,30.3616424436859
"2020-07-09",20.7513487232133,18.666789337107,23.3596925443394
"2020-07-10",16.9166078800841,15.5282667864723,18.5773426128752
